recipe,xpname,transfection_date,calibration,calibration_diagnostics,n_repeats,best_repeat,network_loaded,architecture,sequestron_type,colors
(1:1; 100+110)+(2:1; 102+108),E20221206A_ERNbandpassV3,['2022-12-06'],no,[False],1,0,False,unknown,unknown,
(1:1; 100+123)+(2:1; 102+122)+103,E20221206A_ERNbandpassV3,['2022-12-06'],no,[False],1,0,False,unknown,unknown,"eYFPG5A,iRFP720,mKate,tagBFP"
(1:1; 101+104)+(2:1; 102+103),E20221206A_ERNbandpassV3,['2022-12-06'],no,[False],1,0,False,unknown,unknown,
(1:1; 101+116)+(2:1; 102+117),E20221206A_ERNbandpassV3,['2022-12-06'],no,[False],1,0,False,unknown,unknown,"iRFP720,mKate"
(1:5; 100+73)+100i,E20221124A_ERNbandpassV2,['2022-11-22'],no,[False],1,0,False,unknown,unknown,
(1wCsy4)+(Csy4R1w_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R1x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R2x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R3x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R4x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R5x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R6x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R8x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1wCsy4)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R1w_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R1x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R2x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R3x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R4x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R5x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R6x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R8x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(1xCsy4)+(Csy4R_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(2xCsy4)+(Csy4R1w_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
(2xCsy4)+(Csy4R1x_Y+B),2023-03-26_MatrixCsy4,['2023-03-23-23-00'],old,[False],1,0,True,single,ERN,"eBFP,eYFP,mKate"
